transcriptid	foldchange	DEstatus
ENST00000000233.9	1	FALSE
ENST00000008527.9	1	FALSE
ENST00000011691.4	1	FALSE
ENST00000035307.6	1	FALSE
ENST00000037243.6	1	FALSE
ENST00000167218.9	1	FALSE
ENST00000182527.3	1	FALSE
ENST00000200652.3	1	FALSE
ENST00000215781.2	1	FALSE
ENST00000215812.8	1	FALSE
ENST00000216500.9	1	FALSE
ENST00000217971.7	1	FALSE
ENST00000219054.10	1	FALSE
ENST00000220772.7	1	FALSE
ENST00000222567.5	1	FALSE
ENST00000222823.8	1	FALSE
ENST00000223095.4	1	FALSE
ENST00000223357.7	1	FALSE
ENST00000225235.4	1	FALSE
ENST00000225308.12	1	FALSE
ENST00000228843.13	1	FALSE
ENST00000229251.7	1	FALSE
ENST00000234040.8	1	FALSE
ENST00000234668.6	1	FALSE
ENST00000243112.9	1	FALSE
ENST00000245551.9	1	FALSE
ENST00000245620.13	1	FALSE
ENST00000245812.7	1	FALSE
ENST00000246891.8	1	FALSE
ENST00000248566.3	1	FALSE
ENST00000248572.9	1	FALSE
ENST00000249647.7	1	FALSE
ENST00000249883.9	1	FALSE
ENST00000250087.9	1	FALSE
ENST00000251127.10	1	FALSE
ENST00000251269.9	1	FALSE
ENST00000251334.6	1	FALSE
ENST00000251642.7	1	FALSE
ENST00000251722.10	1	FALSE
ENST00000252136.11	1	FALSE
ENST00000252338.4	1	FALSE
ENST00000254301.13	1	FALSE
ENST00000254853.9	1	FALSE
ENST00000255476.2	1	FALSE
ENST00000256186.2	1	FALSE
ENST00000258538.7	1	FALSE
ENST00000258738.10	1	FALSE
ENST00000258796.11	1	FALSE
ENST00000258888.5	1	FALSE
ENST00000261173.6	1	FALSE
ENST00000261867.4	1	FALSE
ENST00000261883.5	1	FALSE
ENST00000262456.6	1	FALSE
ENST00000262457.6	1	FALSE
ENST00000262873.11	1	FALSE
ENST00000263035.8	1	FALSE
ENST00000263245.9	1	FALSE
ENST00000264160.8	1	FALSE
ENST00000264233.5	1	FALSE
ENST00000264405.9	1	FALSE
ENST00000264734.2	1	FALSE
ENST00000265104.4	1	FALSE
ENST00000265107.8	1	FALSE
ENST00000266594.2	1	FALSE
ENST00000268122.8	1	FALSE
ENST00000268661.7	1	FALSE
ENST00000269967.3	1	FALSE
ENST00000271331.3	1	FALSE
ENST00000272425.3	1	FALSE
ENST00000272937.9	1	FALSE
ENST00000274766.1	1	FALSE
ENST00000280187.11	1	FALSE
ENST00000282282.3	1	FALSE
ENST00000284957.9	1	FALSE
ENST00000285083.9	1	FALSE
ENST00000285402.3	1	FALSE
ENST00000292090.7	1	FALSE
ENST00000294401.11	1	FALSE
ENST00000295755.6	1	FALSE
ENST00000295760.11	1	FALSE
ENST00000295761.11	1	FALSE
ENST00000297534.6	1	FALSE
ENST00000298090.10	1	FALSE
ENST00000298130.4	1	FALSE
ENST00000299438.13	1	FALSE
ENST00000300176.8	1	FALSE
ENST00000300399.7	1	FALSE
ENST00000301773.9	1	FALSE
ENST00000302362.10	1	FALSE
ENST00000302640.12	1	FALSE
ENST00000303902.9	1	FALSE
ENST00000304231.12	1	FALSE
ENST00000304330.8	1	FALSE
ENST00000306627.7	1	FALSE
ENST00000307522.3	1	FALSE
ENST00000308378.7	1	FALSE
ENST00000308624.9	1	FALSE
ENST00000309579.7	1	FALSE
ENST00000310441.11	1	FALSE
ENST00000311048.11	1	FALSE
ENST00000311303.7	1	FALSE
ENST00000311785.11	1	FALSE
ENST00000312263.10	1	FALSE
ENST00000312373.12	1	FALSE
ENST00000313519.9	1	FALSE
ENST00000313597.9	1	FALSE
ENST00000313835.13	1	FALSE
ENST00000313957.7	1	FALSE
ENST00000314126.4	1	FALSE
ENST00000314752.11	1	FALSE
ENST00000314845.7	1	FALSE
ENST00000315249.11	1	FALSE
ENST00000315368.7	1	FALSE
ENST00000315429.10	1	FALSE
ENST00000315711.12	1	FALSE
ENST00000316506.2	1	FALSE
ENST00000316981.7	1	FALSE
ENST00000317551.10	1	FALSE
ENST00000317704.8	1	FALSE
ENST00000319374.4	1	FALSE
ENST00000319481.7	1	FALSE
ENST00000319562.10	1	FALSE
ENST00000319854.7	1	FALSE
ENST00000320139.5	1	FALSE
ENST00000321764.3	1	FALSE
ENST00000324333.14	1	FALSE
ENST00000325102.12	1	FALSE
ENST00000325239.10	1	FALSE
ENST00000325577.8	1	FALSE
ENST00000326153.9_PAR_Y	1	FALSE
ENST00000326183.3	1	FALSE
ENST00000326775.9	1	FALSE
ENST00000328444.5	1	FALSE
ENST00000328668.7	1	FALSE
ENST00000328736.7	1	FALSE
ENST00000328867.8	1	FALSE
ENST00000328882.5	1	FALSE
ENST00000329016.10	1	FALSE
ENST00000329957.6	1	FALSE
ENST00000330125.9	1	FALSE
ENST00000330574.2	1	FALSE
ENST00000330590.3	1	FALSE
ENST00000330714.7	1	FALSE
ENST00000330828.2	1	FALSE
ENST00000331342.4	1	FALSE
ENST00000331425.6	1	FALSE
ENST00000331442.4	1	FALSE
ENST00000331569.5	1	FALSE
ENST00000331664.5	1	FALSE
ENST00000332687.10	1	FALSE
ENST00000333083.11	1	FALSE
ENST00000333256.10	1	FALSE
ENST00000334063.5	1	FALSE
ENST00000334289.7	1	FALSE
ENST00000334425.1	1	FALSE
ENST00000334857.3	1	FALSE
ENST00000334859.8	1	FALSE
ENST00000334983.9	1	FALSE
ENST00000336092.8	1	FALSE
ENST00000336642.8	1	FALSE
ENST00000336915.10	1	FALSE
ENST00000337003.4	1	FALSE
ENST00000337581.7	1	FALSE
ENST00000337714.7	1	FALSE
ENST00000338056.7	1	FALSE
ENST00000338353.3	1	FALSE
ENST00000339582.6	1	FALSE
ENST00000340258.9	1	FALSE
ENST00000340533.8	1	FALSE
ENST00000340692.9	1	FALSE
ENST00000341142.7	1	FALSE
ENST00000341460.5	1	FALSE
ENST00000341617.7	1	FALSE
ENST00000341754.8	1	FALSE
ENST00000343004.9	1	FALSE
ENST00000343110.2	1	FALSE
ENST00000343118.5	1	FALSE
ENST00000343524.9	1	FALSE
ENST00000344033.5	1	FALSE
ENST00000344279.10	1	FALSE
ENST00000344606.6	1	FALSE
ENST00000344710.9	1	FALSE
ENST00000344720.9	1	FALSE
ENST00000344788.7	1	FALSE
ENST00000344894.10	1	FALSE
ENST00000344924.7	1	FALSE
ENST00000345378.6	1	FALSE
ENST00000345734.7	1	FALSE
ENST00000346049.9	1	FALSE
ENST00000346401.10	1	FALSE
ENST00000346855.7	1	FALSE
ENST00000348165.9	1	FALSE
ENST00000348405.8	1	FALSE
ENST00000349225.2	1	FALSE
ENST00000349718.8	1	FALSE
ENST00000349777.5	1	FALSE
ENST00000350842.8	1	FALSE
ENST00000352618.8	1	FALSE
ENST00000352903.6	1	FALSE
ENST00000353267.7	1	FALSE
ENST00000353617.6	1	FALSE
ENST00000354422.3	1	FALSE
ENST00000354567.6	1	FALSE
ENST00000354582.10	1	FALSE
ENST00000354919.10	1	FALSE
ENST00000355196.6	1	FALSE
ENST00000355826.9	1	FALSE
ENST00000355868.3	1	FALSE
ENST00000356064.3	1	FALSE
ENST00000356128.4	1	FALSE
ENST00000356200.7	1	FALSE
ENST00000356438.7	1	FALSE
ENST00000356686.2	1	FALSE
ENST00000356721.3	1	FALSE
ENST00000356878.5	1	FALSE
ENST00000356906.7	1	FALSE
ENST00000356937.7	1	FALSE
ENST00000357041.8	1	FALSE
ENST00000357086.9	1	FALSE
ENST00000357360.4	1	FALSE
ENST00000357760.6	1	FALSE
ENST00000357876.5	1	FALSE
ENST00000358110.6	1	FALSE
ENST00000358215.8	1	FALSE
ENST00000358298.6	1	FALSE
ENST00000358373.7	1	FALSE
ENST00000358649.8	1	FALSE
ENST00000358716.8	1	FALSE
ENST00000358779.9	1	FALSE
ENST00000359001.9	1	FALSE
ENST00000359142.7	1	FALSE
ENST00000359203.3	1	FALSE
ENST00000359286.4	1	FALSE
ENST00000359452.8	1	FALSE
ENST00000359595.7	1	FALSE
ENST00000360310.5	1	FALSE
ENST00000360423.11	1	FALSE
ENST00000360535.8	1	FALSE
ENST00000360578.6	1	FALSE
ENST00000361028.5	1	FALSE
ENST00000361046.4	1	FALSE
ENST00000361379.8	1	FALSE
ENST00000361680.6	1	FALSE
ENST00000362103.4	1	FALSE
ENST00000362117.1	1	FALSE
ENST00000362452.1	1	FALSE
ENST00000362583.1	1	FALSE
ENST00000362596.1	1	FALSE
ENST00000362682.1	1	FALSE
ENST00000362768.1	1	FALSE
ENST00000363244.1	1	FALSE
ENST00000363314.1	1	FALSE
ENST00000363421.1	1	FALSE
ENST00000363440.1	1	FALSE
ENST00000363762.1	1	FALSE
ENST00000364089.1	1	FALSE
ENST00000364180.1	1	FALSE
ENST00000364232.1	1	FALSE
