transcriptid	foldchange	DEstatus
ENST00000009041.11	1	FALSE
ENST00000010299.10	1	FALSE
ENST00000011653.8	1	FALSE
ENST00000040738.9	1	FALSE
ENST00000160827.8	1	FALSE
ENST00000178638.7	1	FALSE
ENST00000187830.2	1	FALSE
ENST00000199280.3	1	FALSE
ENST00000205214.10	1	FALSE
ENST00000211314.4	1	FALSE
ENST00000212015.10	1	FALSE
ENST00000215917.11	1	FALSE
ENST00000216211.8	1	FALSE
ENST00000216264.12	1	FALSE
ENST00000216392.7	1	FALSE
ENST00000216877.10	1	FALSE
ENST00000217173.6	1	FALSE
ENST00000218249.7	1	FALSE
ENST00000219197.10	1	FALSE
ENST00000219611.6	1	FALSE
ENST00000221480.5	1	FALSE
ENST00000221567.6	1	FALSE
ENST00000223215.8	1	FALSE
ENST00000223271.7	1	FALSE
ENST00000226230.7	1	FALSE
ENST00000229465.10	1	FALSE
ENST00000233379.8	1	FALSE
ENST00000234549.11	1	FALSE
ENST00000235521.4	1	FALSE
ENST00000235932.8	1	FALSE
ENST00000237019.11	1	FALSE
ENST00000240727.10	1	FALSE
ENST00000243457.3	1	FALSE
ENST00000244534.6	1	FALSE
ENST00000250056.12	1	FALSE
ENST00000250838.5	1	FALSE
ENST00000251108.10	1	FALSE
ENST00000253470.4	1	FALSE
ENST00000253490.5	1	FALSE
ENST00000253577.7	1	FALSE
ENST00000255495.7	1	FALSE
ENST00000256079.8	1	FALSE
ENST00000256104.4	1	FALSE
ENST00000257566.7	1	FALSE
ENST00000258052.7	1	FALSE
ENST00000259818.7	1	FALSE
ENST00000260563.4	1	FALSE
ENST00000261244.9	1	FALSE
ENST00000261584.8	1	FALSE
ENST00000261588.8	1	FALSE
ENST00000261789.8	1	FALSE
ENST00000261822.4	1	FALSE
ENST00000261868.9	1	FALSE
ENST00000261892.10	1	FALSE
ENST00000263080.2	1	FALSE
ENST00000263331.9	1	FALSE
ENST00000263688.3	1	FALSE
ENST00000263847.5	1	FALSE
ENST00000263893.10	1	FALSE
ENST00000264400.6	1	FALSE
ENST00000264515.10	1	FALSE
ENST00000265626.8	1	FALSE
ENST00000265800.9	1	FALSE
ENST00000265969.6	1	FALSE
ENST00000266182.10	1	FALSE
ENST00000267205.6	1	FALSE
ENST00000270722.9	1	FALSE
ENST00000272065.9	1	FALSE
ENST00000272067.10	1	FALSE
ENST00000273550.11	1	FALSE
ENST00000273596.7	1	FALSE
ENST00000275162.9	1	FALSE
ENST00000275235.8	1	FALSE
ENST00000276927.2	1	FALSE
ENST00000278601.5	1	FALSE
ENST00000280886.11	1	FALSE
ENST00000282226.4	1	FALSE
ENST00000282412.8	1	FALSE
ENST00000283916.10	1	FALSE
ENST00000284049.7	1	FALSE
ENST00000285093.14	1	FALSE
ENST00000285949.5	1	FALSE
ENST00000286791.9	1	FALSE
ENST00000286827.7	1	FALSE
ENST00000288642.12	1	FALSE
ENST00000289816.9	1	FALSE
ENST00000290354.5	1	FALSE
ENST00000292408.8	1	FALSE
ENST00000292524.5	1	FALSE
ENST00000292574.3	1	FALSE
ENST00000294618.11	1	FALSE
ENST00000294818.1	1	FALSE
ENST00000295052.3	1	FALSE
ENST00000295065.9	1	FALSE
ENST00000295237.10	1	FALSE
ENST00000295605.6	1	FALSE
ENST00000295746.12	1	FALSE
ENST00000295896.12	1	FALSE
ENST00000296026.4	1	FALSE
ENST00000296869.8	1	FALSE
ENST00000297581.2	1	FALSE
ENST00000298310.9	1	FALSE
ENST00000299505.6	1	FALSE
ENST00000301050.6	1	FALSE
ENST00000301263.4	1	FALSE
ENST00000302503.7	1	FALSE
ENST00000302787.2	1	FALSE
ENST00000303142.10	1	FALSE
ENST00000303434.8	1	FALSE
ENST00000303586.11	1	FALSE
ENST00000303659.8	1	FALSE
ENST00000304129.8	1	FALSE
ENST00000304801.5	1	FALSE
ENST00000305231.11	1	FALSE
ENST00000306851.9	1	FALSE
ENST00000307068.4	1	FALSE
ENST00000307544.10	1	FALSE
ENST00000307633.7	1	FALSE
ENST00000308100.4	1	FALSE
ENST00000308775.6	1	FALSE
ENST00000308946.3	1	FALSE
ENST00000309170.7	1	FALSE
ENST00000309424.7	1	FALSE
ENST00000309446.10	1	FALSE
ENST00000311089.7	1	FALSE
ENST00000311269.9	1	FALSE
ENST00000311278.10	1	FALSE
ENST00000312310.3	1	FALSE
ENST00000312521.8	1	FALSE
ENST00000312777.9	1	FALSE
ENST00000313116.11	1	FALSE
ENST00000313324.8	1	FALSE
ENST00000314222.4	1	FALSE
ENST00000315050.11	1	FALSE
ENST00000315238.2	1	FALSE
ENST00000315409.2	1	FALSE
ENST00000315567.12	1	FALSE
ENST00000315765.9	1	FALSE
ENST00000316881.8	1	FALSE
ENST00000317221.11	1	FALSE
ENST00000317393.10	1	FALSE
ENST00000317905.9	1	FALSE
ENST00000317995.4	1	FALSE
ENST00000318266.9	1	FALSE
ENST00000318348.8	1	FALSE
ENST00000318424.9	1	FALSE
ENST00000318443.9	1	FALSE
ENST00000319394.7	1	FALSE
ENST00000320658.9	1	FALSE
ENST00000322564.8	1	FALSE
ENST00000323116.9	1	FALSE
ENST00000323418.10	1	FALSE
ENST00000323776.9	1	FALSE
ENST00000324138.7	1	FALSE
ENST00000324170.7	1	FALSE
ENST00000324344.8	1	FALSE
ENST00000324787.9	1	FALSE
ENST00000326739.8	1	FALSE
ENST00000326856.8	1	FALSE
ENST00000326961.6	1	FALSE
ENST00000327946.11	1	FALSE
ENST00000328235.4	1	FALSE
ENST00000328268.8	1	FALSE
ENST00000328354.10	1	FALSE
ENST00000329153.9	1	FALSE
ENST00000330020.3	1	FALSE
ENST00000330387.10	1	FALSE
ENST00000331256.9	1	FALSE
ENST00000332145.2	1	FALSE
ENST00000332249.4	1	FALSE
ENST00000332359.5	1	FALSE
ENST00000332375.3	1	FALSE
ENST00000332687.10	1	FALSE
ENST00000333990.10	1	FALSE
ENST00000334194.3	1	FALSE
ENST00000334325.1	1	FALSE
ENST00000335515.10	1	FALSE
ENST00000335927.11	1	FALSE
ENST00000336451.7	1	FALSE
ENST00000336604.8	1	FALSE
ENST00000336687.6	1	FALSE
ENST00000337908.4	1	FALSE
ENST00000337910.9	1	FALSE
ENST00000338272.8	1	FALSE
ENST00000339024.8	1	FALSE
ENST00000339447.8	1	FALSE
ENST00000339868.10	1	FALSE
ENST00000340112.2	1	FALSE
ENST00000340177.9	1	FALSE
ENST00000340313.4	1	FALSE
ENST00000340490.7	1	FALSE
ENST00000340600.6	1	FALSE
ENST00000340830.9	1	FALSE
ENST00000341115.8	1	FALSE
ENST00000341441.9	1	FALSE
ENST00000341618.8	1	FALSE
ENST00000341744.7	1	FALSE
ENST00000342202.8	1	FALSE
ENST00000343968.8	1	FALSE
ENST00000344366.7	1	FALSE
ENST00000344889.3	1	FALSE
ENST00000344956.8	1	FALSE
ENST00000345249.8	1	FALSE
ENST00000347215.8	1	FALSE
ENST00000348031.6	1	FALSE
ENST00000348295.7	1	FALSE
ENST00000349155.6	1	FALSE
ENST00000349225.2	1	FALSE
ENST00000349996.6	1	FALSE
ENST00000350110.2	1	FALSE
ENST00000350119.8	1	FALSE
ENST00000352187.5	1	FALSE
ENST00000354386.10	1	FALSE
ENST00000354506.10	1	FALSE
ENST00000354611.8	1	FALSE
ENST00000354852.5	1	FALSE
