transcriptid	foldchange	DEstatus
ENST00000039989.8	1	FALSE
ENST00000052754.9	1	FALSE
ENST00000080059.11	1	FALSE
ENST00000085219.9	1	FALSE
ENST00000175506.8	1	FALSE
ENST00000185206.10	1	FALSE
ENST00000200691.4	1	FALSE
ENST00000216366.8	1	FALSE
ENST00000219481.9	1	FALSE
ENST00000222390.9	1	FALSE
ENST00000228938.5	1	FALSE
ENST00000229307.8	1	FALSE
ENST00000230354.10	1	FALSE
ENST00000230914.4	1	FALSE
ENST00000231749.7	1	FALSE
ENST00000233741.8	1	FALSE
ENST00000238081.7	1	FALSE
ENST00000239878.8	1	FALSE
ENST00000241124.10	1	FALSE
ENST00000241808.8	1	FALSE
ENST00000243643.8	1	FALSE
ENST00000243918.9	1	FALSE
ENST00000244217.5	1	FALSE
ENST00000246199.5	1	FALSE
ENST00000247003.8	1	FALSE
ENST00000247843.6	1	FALSE
ENST00000253506.9	1	FALSE
ENST00000254029.7	1	FALSE
ENST00000254262.9	1	FALSE
ENST00000256216.10	1	FALSE
ENST00000258229.13	1	FALSE
ENST00000259318.7	1	FALSE
ENST00000261038.5	1	FALSE
ENST00000261177.9	1	FALSE
ENST00000261425.7	1	FALSE
ENST00000261426.9	1	FALSE
ENST00000261438.9	1	FALSE
ENST00000261712.7	1	FALSE
ENST00000261884.7	1	FALSE
ENST00000262376.10	1	FALSE
ENST00000263012.10	1	FALSE
ENST00000263245.9	1	FALSE
ENST00000263277.7	1	FALSE
ENST00000264071.6	1	FALSE
ENST00000265174.4	1	FALSE
ENST00000265462.8	1	FALSE
ENST00000267615.10	1	FALSE
ENST00000267918.9	1	FALSE
ENST00000269967.3	1	FALSE
ENST00000271715.6	1	FALSE
ENST00000272065.9	1	FALSE
ENST00000272067.10	1	FALSE
ENST00000274289.7	1	FALSE
ENST00000278222.6	1	FALSE
ENST00000279249.2	1	FALSE
ENST00000280772.6	1	FALSE
ENST00000281428.12	1	FALSE
ENST00000283628.9	1	FALSE
ENST00000283629.7	1	FALSE
ENST00000284292.10	1	FALSE
ENST00000286181.7	1	FALSE
ENST00000286298.4	1	FALSE
ENST00000287706.7	1	FALSE
ENST00000289119.6	1	FALSE
ENST00000290510.9	1	FALSE
ENST00000293745.6	1	FALSE
ENST00000295367.4	1	FALSE
ENST00000298468.9	1	FALSE
ENST00000299240.10	1	FALSE
ENST00000299606.6	1	FALSE
ENST00000300245.8	1	FALSE
ENST00000301399.10	1	FALSE
ENST00000301458.9	1	FALSE
ENST00000302555.9	1	FALSE
ENST00000302746.10	1	FALSE
ENST00000303071.9	1	FALSE
ENST00000303113.10	1	FALSE
ENST00000303310.2	1	FALSE
ENST00000304568.3	1	FALSE
ENST00000304915.7	1	FALSE
ENST00000305626.5	1	FALSE
ENST00000306145.9	1	FALSE
ENST00000306422.4	1	FALSE
ENST00000306627.7	1	FALSE
ENST00000307641.9	1	FALSE
ENST00000308110.8	1	FALSE
ENST00000309234.10	1	FALSE
ENST00000309996.6	1	FALSE
ENST00000311128.9	1	FALSE
ENST00000311212.8	1	FALSE
ENST00000311764.2	1	FALSE
ENST00000313080.8	1	FALSE
ENST00000313132.8	1	FALSE
ENST00000313566.10	1	FALSE
ENST00000315782.6	1	FALSE
ENST00000316082.4	1	FALSE
ENST00000316637.6	1	FALSE
ENST00000317896.11	1	FALSE
ENST00000318065.9	1	FALSE
ENST00000320081.9	1	FALSE
ENST00000320220.13	1	FALSE
ENST00000320631.7	1	FALSE
ENST00000324142.4	1	FALSE
ENST00000324300.9	1	FALSE
ENST00000324682.5	1	FALSE
ENST00000325123.4	1	FALSE
ENST00000325250.1	1	FALSE
ENST00000327026.7	1	FALSE
ENST00000327179.6	1	FALSE
ENST00000327335.4	1	FALSE
ENST00000328558.3	1	FALSE
ENST00000328713.5	1	FALSE
ENST00000329101.8	1	FALSE
ENST00000329255.3	1	FALSE
ENST00000329357.6	1	FALSE
ENST00000329627.11	1	FALSE
ENST00000329805.5	1	FALSE
ENST00000330020.3	1	FALSE
ENST00000330677.7	1	FALSE
ENST00000331259.5	1	FALSE
ENST00000331860.7	1	FALSE
ENST00000331952.6	1	FALSE
ENST00000332211.10	1	FALSE
ENST00000333003.9	1	FALSE
ENST00000333279.2	1	FALSE
ENST00000333503.7	1	FALSE
ENST00000334136.9	1	FALSE
ENST00000334141.7	1	FALSE
ENST00000334725.8	1	FALSE
ENST00000335568.9	1	FALSE
ENST00000335648.3	1	FALSE
ENST00000336625.12	1	FALSE
ENST00000336915.10	1	FALSE
ENST00000337768.9	1	FALSE
ENST00000338305.6	1	FALSE
ENST00000339561.10	1	FALSE
ENST00000340052.4	1	FALSE
ENST00000340342.10	1	FALSE
ENST00000340898.6	1	FALSE
ENST00000341105.6	1	FALSE
ENST00000341413.8	1	FALSE
ENST00000341426.9	1	FALSE
ENST00000341642.9	1	FALSE
ENST00000341773.10	1	FALSE
ENST00000341991.7	1	FALSE
ENST00000342020.5	1	FALSE
ENST00000342348.9	1	FALSE
ENST00000343053.4	1	FALSE
ENST00000343150.9	1	FALSE
ENST00000344036.8	1	FALSE
ENST00000344425.7	1	FALSE
ENST00000344462.8	1	FALSE
ENST00000344698.6	1	FALSE
ENST00000344774.5	1	FALSE
ENST00000344954.10	1	FALSE
ENST00000345434.7	1	FALSE
ENST00000346807.7	1	FALSE
ENST00000346855.7	1	FALSE
ENST00000347538.2	1	FALSE
ENST00000347941.4	1	FALSE
ENST00000349999.8	1	FALSE
ENST00000352392.8	1	FALSE
ENST00000352435.8	1	FALSE
ENST00000353147.9	1	FALSE
ENST00000354224.10	1	FALSE
ENST00000354310.4	1	FALSE
ENST00000354313.7	1	FALSE
ENST00000354334.7	1	FALSE
ENST00000354546.9	1	FALSE
ENST00000355288.6	1	FALSE
ENST00000355673.7	1	FALSE
ENST00000356192.6	1	FALSE
ENST00000357249.6	1	FALSE
ENST00000357618.9	1	FALSE
ENST00000358321.3	1	FALSE
ENST00000358472.3	1	FALSE
ENST00000358476.7	1	FALSE
ENST00000358556.8	1	FALSE
